shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
1.4375,-1.3959,-1.576,-1.1007,0.27835,3.2211
1.4341,-1.4044,-1.5771,-1.1058,0.27518,3.2268
1.4307,-1.4129,-1.5783,-1.1108,0.27196,3.2324
1.4273,-1.4213,-1.5794,-1.1158,0.2687,3.238
1.4238,-1.4297,-1.5806,-1.1207,0.26539,3.2437
1.4204,-1.4381,-1.5818,-1.1256,0.26204,3.2493
1.4169,-1.4464,-1.583,-1.1305,0.25864,3.255
1.4134,-1.4547,-1.5842,-1.1353,0.2552,3.2606
1.41,-1.4629,-1.5854,-1.1401,0.25172,3.2663
1.4064,-1.471,-1.5867,-1.1449,0.24819,3.272
1.4029,-1.4791,-1.588,-1.1496,0.24463,3.2776
1.3994,-1.4872,-1.5893,-1.1543,0.24102,3.2833
1.3959,-1.4952,-1.5906,-1.1589,0.23738,3.289
1.3923,-1.5031,-1.5919,-1.1635,0.23369,3.2946
1.3888,-1.5109,-1.5933,-1.1681,0.22997,3.3003
1.3853,-1.5187,-1.5947,-1.1726,0.22621,3.306
1.3817,-1.5264,-1.5961,-1.177,0.22241,3.3117
1.3782,-1.5341,-1.5975,-1.1815,0.21857,3.3174
1.3746,-1.5417,-1.599,-1.1858,0.2147,3.3231
1.3711,-1.5492,-1.6005,-1.1901,0.21079,3.3288
1.3675,-1.5566,-1.602,-1.1944,0.20685,3.3344
1.364,-1.5639,-1.6036,-1.1986,0.20287,3.3402
1.3604,-1.5712,-1.6052,-1.2028,0.19887,3.3459
1.3569,-1.5783,-1.6068,-1.2069,0.19482,3.3516
1.3533,-1.5854,-1.6084,-1.211,0.19075,3.3573
1.3498,-1.5924,-1.6101,-1.215,0.18665,3.363
1.3463,-1.5993,-1.6119,-1.219,0.18251,3.3687
1.3427,-1.6061,-1.6136,-1.2229,0.17835,3.3744
1.3392,-1.6129,-1.6154,-1.2267,0.17416,3.3802
1.3357,-1.6195,-1.6173,-1.2305,0.16994,3.3859
1.3323,-1.626,-1.6191,-1.2343,0.16569,3.3916
1.3288,-1.6324,-1.6211,-1.2379,0.16141,3.3974
1.3253,-1.6388,-1.623,-1.2416,0.15711,3.4031
1.3219,-1.645,-1.625,-1.2451,0.15279,3.4088
1.3184,-1.6511,-1.6271,-1.2486,0.14844,3.4146
1.315,-1.6571,-1.6292,-1.252,0.14407,3.4203
1.3116,-1.663,-1.6313,-1.2554,0.13967,3.4261
1.3082,-1.6688,-1.6335,-1.2587,0.13525,3.4319
1.3049,-1.6745,-1.6357,-1.262,0.13081,3.4376
1.3016,-1.68,-1.638,-1.2651,0.12635,3.4434
1.2982,-1.6854,-1.6403,-1.2683,0.12187,3.4492
1.2949,-1.6908,-1.6426,-1.2713,0.11738,3.4549
1.2917,-1.696,-1.645,-1.2743,0.11286,3.4607
1.2884,-1.7011,-1.6475,-1.2772,0.10833,3.4665
1.2852,-1.706,-1.65,-1.28,0.10378,3.4723
1.282,-1.7108,-1.6526,-1.2828,0.099216,3.478
1.2788,-1.7156,-1.6552,-1.2855,0.094638,3.4838
1.2757,-1.7201,-1.6578,-1.2881,0.090045,3.4896
1.2726,-1.7246,-1.6606,-1.2907,0.085439,3.4954
1.2695,-1.7289,-1.6633,-1.2932,0.080821,3.5012
1.2665,-1.7331,-1.6661,-1.2956,0.076192,3.507
1.2635,-1.7371,-1.669,-1.2979,0.071552,3.5128
1.2605,-1.7411,-1.6719,-1.3001,0.066903,3.5186
1.2575,-1.7449,-1.6749,-1.3023,0.062245,3.5244
1.2546,-1.7485,-1.6779,-1.3044,0.057578,3.5302
1.2517,-1.752,-1.681,-1.3064,0.052905,3.536
1.2489,-1.7554,-1.6842,-1.3084,0.048225,3.5419
1.2461,-1.7586,-1.6874,-1.3103,0.04354,3.5477
1.2433,-1.7617,-1.6906,-1.312,0.038851,3.5535
1.2406,-1.7647,-1.6939,-1.3138,0.034157,3.5593
1.2379,-1.7675,-1.6973,-1.3154,0.029461,3.5651
1.2353,-1.7701,-1.7007,-1.3169,0.024763,3.5709
1.2327,-1.7726,-1.7042,-1.3184,0.020064,3.5768
1.2302,-1.775,-1.7077,-1.3198,0.015364,3.5826
1.2277,-1.7772,-1.7113,-1.321,0.010665,3.5884
1.2252,-1.7793,-1.715,-1.3223,0.0059676,3.5943
1.2228,-1.7812,-1.7187,-1.3234,0.0012724,3.6001
1.2204,-1.783,-1.7225,-1.3244,-0.0034196,3.6059
1.2181,-1.7846,-1.7263,-1.3254,-0.0081076,3.6117
1.2158,-1.786,-1.7302,-1.3262,-0.012791,3.6176
1.2136,-1.7873,-1.7341,-1.327,-0.017468,3.6234
1.2114,-1.7885,-1.7381,-1.3277,-0.022139,3.6292
1.2093,-1.7895,-1.7421,-1.3283,-0.026802,3.6351
1.2072,-1.7904,-1.7462,-1.3288,-0.031456,3.6409
1.2052,-1.7911,-1.7504,-1.3292,-0.036102,3.6467
1.2032,-1.7916,-1.7546,-1.3295,-0.040737,3.6526
1.2013,-1.792,-1.7589,-1.3298,-0.045361,3.6584
1.1995,-1.7922,-1.7632,-1.3299,-0.049974,3.6642
1.1977,-1.7923,-1.7676,-1.33,-0.054573,3.6701
1.1959,-1.7922,-1.7721,-1.3299,-0.059159,3.6759
1.1942,-1.7919,-1.7766,-1.3298,-0.063731,3.6817
1.1926,-1.7915,-1.7811,-1.3295,-0.068287,3.6875
1.191,-1.791,-1.7858,-1.3292,-0.072827,3.6933
1.1895,-1.7903,-1.7904,-1.3288,-0.07735,3.6992
1.1881,-1.7894,-1.7952,-1.3283,-0.081855,3.705
1.1867,-1.7883,-1.7999,-1.3277,-0.086342,3.7108
1.1854,-1.7872,-1.8048,-1.327,-0.090808,3.7166
1.1841,-1.7858,-1.8096,-1.3262,-0.095254,3.7224
1.1829,-1.7843,-1.8146,-1.3253,-0.099679,3.7282
1.1818,-1.7826,-1.8196,-1.3243,-0.10408,3.734
1.1807,-1.7808,-1.8246,-1.3232,-0.10846,3.7398
1.1797,-1.7788,-1.8297,-1.322,-0.11282,3.7456
1.1787,-1.7766,-1.8349,-1.3207,-0.11715,3.7514
1.1778,-1.7743,-1.8401,-1.3193,-0.12145,3.7572
1.177,-1.7719,-1.8453,-1.3178,-0.12573,3.763
1.1763,-1.7692,-1.8506,-1.3162,-0.12998,3.7687
1.1756,-1.7665,-1.856,-1.3145,-0.13421,3.7745
1.175,-1.7635,-1.8613,-1.3127,-0.1384,3.7803
1.1744,-1.7604,-1.8668,-1.3108,-0.14256,3.786
1.174,-1.7572,-1.8723,-1.3088,-0.1467,3.7918
1.1735,-1.7538,-1.8778,-1.3067,-0.1508,3.7975
1.1732,-1.7502,-1.8834,-1.3045,-0.15487,3.8032
1.1729,-1.7465,-1.889,-1.3022,-0.15891,3.809
1.1728,-1.7426,-1.8947,-1.2998,-0.16291,3.8147
1.1726,-1.7386,-1.9004,-1.2973,-0.16688,3.8204
1.1726,-1.7344,-1.9061,-1.2946,-0.17081,3.8261
1.1726,-1.7301,-1.9119,-1.2919,-0.17471,3.8318
1.1727,-1.7256,-1.9177,-1.2891,-0.17857,3.8375
