shoulder_pan_joint, shoulder_lift_joint, elbow_joint, wrist_1_joint, wrist_2_joint, wrist_3_joint
1.9265,-0.557,-0.82444,0.041011,1.7572,0.71836
1.9309,-0.55449,-0.83752,0.032293,1.7493,0.71899
1.9352,-0.552,-0.85057,0.023547,1.7413,0.71962
1.9396,-0.54953,-0.8636,0.014771,1.7333,0.72025
1.9439,-0.54707,-0.87661,0.0059679,1.7253,0.72089
1.9482,-0.54464,-0.8896,-0.0028629,1.7172,0.72153
1.9525,-0.54221,-0.90257,-0.01172,1.7091,0.72218
1.9568,-0.53981,-0.91551,-0.020605,1.701,0.72283
1.9611,-0.53743,-0.92844,-0.029514,1.6928,0.72349
1.9653,-0.53506,-0.94134,-0.03845,1.6846,0.72416
1.9696,-0.53272,-0.95421,-0.04741,1.6763,0.72483
1.9738,-0.53039,-0.96706,-0.056394,1.668,0.72551
1.978,-0.52808,-0.97989,-0.065402,1.6597,0.72619
1.9821,-0.5258,-0.99268,-0.074434,1.6514,0.72688
1.9863,-0.52353,-1.0055,-0.083488,1.643,0.72758
1.9905,-0.52128,-1.0182,-0.092564,1.6346,0.72829
1.9946,-0.51905,-1.0309,-0.10166,1.6261,0.72901
1.9987,-0.51685,-1.0436,-0.11078,1.6176,0.72973
2.0028,-0.51466,-1.0563,-0.11992,1.6091,0.73046
2.0068,-0.5125,-1.0689,-0.12908,1.6006,0.7312
2.0109,-0.51036,-1.0815,-0.13826,1.592,0.73195
2.0149,-0.50824,-1.094,-0.14746,1.5834,0.73271
2.0189,-0.50614,-1.1066,-0.15668,1.5747,0.73348
2.0229,-0.50406,-1.1191,-0.16591,1.5661,0.73425
2.0269,-0.50201,-1.1315,-0.17517,1.5574,0.73504
2.0308,-0.49998,-1.144,-0.18444,1.5486,0.73584
2.0347,-0.49797,-1.1564,-0.19372,1.5399,0.73665
2.0386,-0.49599,-1.1687,-0.20302,1.5311,0.73746
2.0425,-0.49403,-1.1811,-0.21234,1.5223,0.73829
2.0463,-0.4921,-1.1933,-0.22168,1.5135,0.73913
2.0502,-0.49018,-1.2056,-0.23102,1.5046,0.73998
2.054,-0.4883,-1.2178,-0.24038,1.4957,0.74084
2.0577,-0.48643,-1.23,-0.24976,1.4868,0.74171
2.0615,-0.4846,-1.2421,-0.25915,1.4779,0.7426
2.0652,-0.48278,-1.2542,-0.26855,1.4689,0.7435
2.0689,-0.481,-1.2663,-0.27796,1.4599,0.7444
2.0726,-0.47923,-1.2783,-0.28738,1.4509,0.74533
2.0763,-0.4775,-1.2903,-0.29681,1.4419,0.74626
2.0799,-0.47579,-1.3022,-0.30626,1.4328,0.74721
2.0835,-0.47411,-1.3141,-0.31571,1.4238,0.74817
2.0871,-0.47245,-1.3259,-0.32517,1.4147,0.74914
2.0907,-0.47082,-1.3377,-0.33465,1.4056,0.75013
2.0942,-0.46922,-1.3495,-0.34413,1.3964,0.75113
2.0977,-0.46764,-1.3612,-0.35361,1.3873,0.75214
2.1012,-0.4661,-1.3728,-0.36311,1.3781,0.75317
2.1046,-0.46458,-1.3845,-0.37261,1.3689,0.75421
2.108,-0.46309,-1.396,-0.38212,1.3597,0.75527
2.1114,-0.46162,-1.4076,-0.39163,1.3505,0.75634
2.1148,-0.46019,-1.419,-0.40115,1.3412,0.75742
2.1181,-0.45878,-1.4305,-0.41067,1.332,0.75853
2.1214,-0.45741,-1.4418,-0.4202,1.3227,0.75964
2.1247,-0.45606,-1.4532,-0.42973,1.3134,0.76077
2.128,-0.45474,-1.4644,-0.43927,1.3041,0.76192
2.1312,-0.45346,-1.4757,-0.44881,1.2948,0.76308
2.1344,-0.4522,-1.4868,-0.45834,1.2854,0.76426
2.1375,-0.45097,-1.4979,-0.46789,1.2761,0.76546
2.1407,-0.44977,-1.509,-0.47743,1.2667,0.76667
2.1438,-0.44861,-1.52,-0.48697,1.2573,0.76789
2.1468,-0.44747,-1.531,-0.49651,1.2479,0.76914
2.1499,-0.44637,-1.5419,-0.50606,1.2385,0.7704
2.1529,-0.44529,-1.5527,-0.5156,1.2291,0.77167
2.1558,-0.44425,-1.5635,-0.52514,1.2197,0.77297
2.1588,-0.44324,-1.5743,-0.53468,1.2103,0.77428
2.1617,-0.44226,-1.5849,-0.54421,1.2008,0.77561
2.1646,-0.44132,-1.5956,-0.55375,1.1914,0.77695
2.1674,-0.4404,-1.6061,-0.56328,1.1819,0.77831
2.1702,-0.43952,-1.6166,-0.57281,1.1724,0.7797
2.173,-0.43868,-1.6271,-0.58233,1.1629,0.78109
2.1757,-0.43786,-1.6375,-0.59185,1.1535,0.78251
2.1784,-0.43708,-1.6478,-0.60136,1.144,0.78395
2.1811,-0.43633,-1.6581,-0.61087,1.1345,0.7854
2.1837,-0.43562,-1.6683,-0.62037,1.125,0.78687
2.1863,-0.43494,-1.6784,-0.62986,1.1154,0.78836
2.1889,-0.43429,-1.6885,-0.63935,1.1059,0.78987
2.1914,-0.43368,-1.6985,-0.64883,1.0964,0.7914
2.1939,-0.4331,-1.7085,-0.6583,1.0869,0.79294
2.1964,-0.43256,-1.7184,-0.66776,1.0773,0.79451
2.1988,-0.43205,-1.7282,-0.67722,1.0678,0.79609
2.2012,-0.43158,-1.7379,-0.68666,1.0583,0.79769
2.2036,-0.43114,-1.7476,-0.6961,1.0487,0.79932
2.2059,-0.43074,-1.7573,-0.70552,1.0392,0.80096
2.2082,-0.43037,-1.7668,-0.71494,1.0297,0.80262
2.2104,-0.43004,-1.7763,-0.72434,1.0201,0.8043
2.2126,-0.42975,-1.7858,-0.73373,1.0106,0.806
2.2148,-0.42949,-1.7951,-0.74311,1.001,0.80772
2.2169,-0.42927,-1.8044,-0.75247,0.99148,0.80946
2.219,-0.42908,-1.8136,-0.76183,0.98194,0.81123
2.221,-0.42893,-1.8228,-0.77117,0.9724,0.81301
2.223,-0.42882,-1.8319,-0.78049,0.96286,0.81481
2.225,-0.42875,-1.8409,-0.7898,0.95332,0.81663
2.2269,-0.42871,-1.8498,-0.7991,0.94378,0.81847
2.2288,-0.42871,-1.8587,-0.80838,0.93425,0.82033
2.2307,-0.42875,-1.8675,-0.81765,0.92473,0.82221
2.2325,-0.42882,-1.8762,-0.8269,0.9152,0.82412
2.2342,-0.42894,-1.8849,-0.83613,0.90568,0.82604
2.236,-0.42909,-1.8935,-0.84535,0.89617,0.82799
2.2376,-0.42928,-1.902,-0.85455,0.88666,0.82995
2.2393,-0.42951,-1.9104,-0.86373,0.87716,0.83194
2.2409,-0.42978,-1.9188,-0.87289,0.86766,0.83394
2.2425,-0.43008,-1.9271,-0.88203,0.85817,0.83597
2.244,-0.43043,-1.9353,-0.89116,0.84869,0.83802
2.2454,-0.43081,-1.9434,-0.90026,0.83921,0.84009
2.2469,-0.43123,-1.9515,-0.90935,0.82974,0.84218
2.2483,-0.4317,-1.9595,-0.91842,0.82029,0.84429
